Benchmark,Size_Arg,Approx_Input_GB,Run_ID,Time_ms,Bandwidth_GBs,Faults_Detected_Nsys
SGEMM,16384,1.07,49,1028.57,N/A,Table Not Found
SGEMM,16384,1.07,50,1028.23,N/A,Table Not Found
SGEMM,24000,2.30,1,3074.50,N/A,Table Not Found
SGEMM,24000,2.30,2,3074.54,N/A,Table Not Found
SGEMM,24000,2.30,3,3074.08,N/A,Table Not Found
SGEMM,24000,2.30,4,3079.65,N/A,Table Not Found
SGEMM,24000,2.30,5,3077.68,N/A,Table Not Found
SGEMM,24000,2.30,6,3075.53,N/A,Table Not Found
SGEMM,24000,2.30,7,3077.67,N/A,Table Not Found
SGEMM,24000,2.30,8,3079.85,N/A,Table Not Found
SGEMM,24000,2.30,9,3078.38,N/A,Table Not Found
SGEMM,24000,2.30,10,3078.25,N/A,Table Not Found
SGEMM,24000,2.30,11,3077.72,N/A,Table Not Found
SGEMM,24000,2.30,12,3079.88,N/A,Table Not Found
SGEMM,24000,2.30,13,3078.75,N/A,Table Not Found
SGEMM,24000,2.30,14,3079.05,N/A,Table Not Found
SGEMM,24000,2.30,15,3079.08,N/A,Table Not Found
SGEMM,24000,2.30,16,3082.57,N/A,Table Not Found
SGEMM,24000,2.30,17,3078.60,N/A,Table Not Found
SGEMM,24000,2.30,18,3080.84,N/A,Table Not Found
SGEMM,24000,2.30,19,3080.23,N/A,Table Not Found
SGEMM,24000,2.30,20,3078.62,N/A,Table Not Found
SGEMM,24000,2.30,21,3079.85,N/A,Table Not Found
SGEMM,24000,2.30,22,3081.37,N/A,Table Not Found
SGEMM,24000,2.30,23,3085.50,N/A,Table Not Found
SGEMM,24000,2.30,24,3078.31,N/A,Table Not Found
SGEMM,24000,2.30,25,3079.53,N/A,Table Not Found
SGEMM,24000,2.30,26,3079.48,N/A,Table Not Found
SGEMM,24000,2.30,27,3079.00,N/A,Table Not Found
SGEMM,24000,2.30,28,3085.82,N/A,Table Not Found
SGEMM,24000,2.30,29,3081.28,N/A,Table Not Found
SGEMM,24000,2.30,30,3078.19,N/A,Table Not Found
SGEMM,24000,2.30,31,3076.51,N/A,Table Not Found
SGEMM,24000,2.30,32,3077.10,N/A,Table Not Found
SGEMM,24000,2.30,33,3079.59,N/A,Table Not Found
SGEMM,24000,2.30,34,3081.06,N/A,Table Not Found
SGEMM,24000,2.30,35,3077.89,N/A,Table Not Found
SGEMM,24000,2.30,36,3079.56,N/A,Table Not Found
SGEMM,24000,2.30,37,3078.46,N/A,Table Not Found
SGEMM,24000,2.30,38,3080.08,N/A,Table Not Found
SGEMM,24000,2.30,39,3081.83,N/A,Table Not Found
SGEMM,24000,2.30,40,3080.55,N/A,Table Not Found
SGEMM,24000,2.30,41,3080.09,N/A,Table Not Found
SGEMM,24000,2.30,42,3078.28,N/A,Table Not Found
SGEMM,24000,2.30,43,3076.56,N/A,Table Not Found
SGEMM,24000,2.30,44,3080.96,N/A,Table Not Found
SGEMM,24000,2.30,45,3079.99,N/A,Table Not Found
SGEMM,24000,2.30,46,3078.34,N/A,Table Not Found
SGEMM,24000,2.30,47,3080.40,N/A,Table Not Found
SGEMM,24000,2.30,48,3079.87,N/A,Table Not Found
SGEMM,24000,2.30,49,3078.32,N/A,Table Not Found
SGEMM,24000,2.30,50,3077.44,N/A,Table Not Found
Stencil,8192,0.27,1,30.35,N/A,Table Not Found
Stencil,8192,0.27,2,28.48,N/A,Table Not Found
Stencil,8192,0.27,3,29.12,N/A,Table Not Found
Stencil,8192,0.27,4,28.40,N/A,Table Not Found
Stencil,8192,0.27,5,28.63,N/A,Table Not Found
Stencil,8192,0.27,6,30.00,N/A,Table Not Found
Stencil,8192,0.27,7,29.31,N/A,Table Not Found
Stencil,8192,0.27,8,29.32,N/A,Table Not Found
Stencil,8192,0.27,9,29.28,N/A,Table Not Found
Stencil,8192,0.27,10,28.78,N/A,Table Not Found
Stencil,8192,0.27,11,28.77,N/A,Table Not Found
Stencil,8192,0.27,12,29.57,N/A,Table Not Found
Stencil,8192,0.27,13,30.70,N/A,Table Not Found
Stencil,8192,0.27,14,28.83,N/A,Table Not Found
Stencil,8192,0.27,15,29.44,N/A,Table Not Found
Stencil,8192,0.27,16,30.01,N/A,Table Not Found
Stencil,8192,0.27,17,29.44,N/A,Table Not Found
Stencil,8192,0.27,18,29.20,N/A,Table Not Found
Stencil,8192,0.27,19,29.10,N/A,Table Not Found
