idx,ts_utc,workload,arm,L,wall_s,bench_result_ms,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,decomp_records,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident
43,2026-09-25T18:34:24Z,graphbfs,C0,,31.786453,169.75,0,5997D238EF080B77DBD2AAF,61264320,61009684,39.8,0,,44220,0,0,0,0,0,0,0,0,0,0,0
44,2026-09-25T18:34:57Z,graphbfs,C7,4096,31.377124,177.77,0,5997D238EF080B77DBD2AAF,61259604,61086760,39.8,0,,43556,6198,6198,0,424,5776,6198,281758,36371,0,987,583
45,2026-09-25T18:35:30Z,graphbfs,C7,1,31.421810,175.35,0,5997D238EF080B77DBD2AAF,61345460,61076664,39.8,0,,42890,677,677,0,320,526,677,287253,42213,0,0,292
46,2026-09-25T18:35:32Z,stencil,C7,16,1.188203,431.08,0,5997D238EF080B77DBD2AAF,61306268,61050504,39.8,0,,322945,77498,77498,0,9928,51147,77498,1046907,245447,0,0,10465
47,2026-09-25T18:35:35Z,stencil,C7,256,1.207326,466.52,0,5997D238EF080B77DBD2AAF,61306768,61136956,39.8,0,,329526,325314,325314,0,22367,238075,325314,799158,4212,0,0,29182
48,2026-09-25T18:35:38Z,stencil,C7,1,1.177011,422.50,0,5997D238EF080B77DBD2AAF,61334312,61149404,39.8,0,,326634,19898,19898,0,7447,15931,19898,1104519,306736,0,0,7350
49,2026-09-25T18:36:10Z,graphbfs,C7,16,31.453053,175.07,0,5997D238EF080B77DBD2AAF,61426828,61024452,39.8,0,,44178,1191,1191,0,401,1019,1191,286749,42987,0,0,398
50,2026-09-25T18:36:13Z,stencil,C0,,1.142415,375.30,0,5997D238EF080B77DBD2AAF,61241332,61146880,39.8,0,,347114,0,0,0,0,0,0,0,0,0,0,0
51,2026-09-25T18:36:15Z,stencil,C7,1,1.188002,432.44,0,5997D238EF080B77DBD2AAF,61374364,61137664,39.8,0,,339606,19867,19867,0,7740,16215,19867,1104531,319739,0,0,7696
52,2026-09-25T18:36:48Z,graphbfs,C7,4096,31.657445,177.11,0,5997D238EF080B77DBD2AAF,61406864,61062716,39.8,0,,42655,6234,6234,0,527,5778,6234,281722,35395,0,1026,633
53,2026-09-25T18:37:21Z,graphbfs,C7,1,31.440032,179.11,0,5997D238EF080B77DBD2AAF,61314088,61090380,39.8,0,,44154,717,717,0,301,525,717,287213,43437,0,0,292
54,2026-09-25T18:37:54Z,graphbfs,C0,,31.416448,173.92,0,5997D238EF080B77DBD2AAF,61324164,61076580,39.8,0,,44664,0,0,0,0,0,0,0,0,0,0,0
55,2026-09-25T18:37:57Z,stencil,C7,16,1.196782,443.92,0,5997D238EF080B77DBD2AAF,61298612,61078584,39.8,0,,340184,79339,79339,0,11002,53110,79339,1045064,260845,0,0,11751
56,2026-09-25T18:37:59Z,stencil,C7,4096,1.246277,491.36,0,5997D238EF080B77DBD2AAF,61332412,61096700,39.8,0,,342586,342586,342586,0,22622,248883,342586,781941,0,0,0,29949
