idx,label,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,dump_rings
187,stencil C7-W64,stencil,new,6,1,1,4096,64,1,0,1
188,graphbfs C7-slow-W1,graphbfs,new,6,1,1,4096,1,0,0,1
189,stencil C0,stencil,new,0,0,1,,1,0,0,1
190,graphbfs C6-slow-W1,graphbfs,new,6,1,0,4096,1,0,0,1
191,stencil C7-W1,stencil,new,6,1,1,4096,1,1,0,1
192,stencil C6-W1,stencil,new,6,1,0,4096,1,1,0,1
193,graphbfs C6-W64,graphbfs,new,6,1,0,4096,64,1,0,1
194,graphbfs C7-W1,graphbfs,new,6,1,1,4096,1,1,0,1
195,stencil C7-W512,stencil,new,6,1,1,4096,512,1,0,1
196,stencil C6-W64,stencil,new,6,1,0,4096,64,1,0,1
197,graphbfs C0,graphbfs,new,0,0,1,,1,0,0,1
198,graphbfs C7-W512,graphbfs,new,6,1,1,4096,512,1,0,1
199,graphbfs C6-W1,graphbfs,new,6,1,0,4096,1,1,0,1
200,graphbfs C6-W512,graphbfs,new,6,1,0,4096,512,1,0,1
