idx,label,ts_utc,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,wall_s,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,batch_records,decomp_records,ft_fast_verified,ft_fast_nranges,ft_fast_verify_ns,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident,trace_pushes,trace_overwrites,ft_same_region,spec_region_invalid,spec_pages_requested,ft_fast_cas_giveup
17,stencil C7W512-t75,2026-09-26T07:59:08Z,stencil,new,6,1,1,4096,512,1,0,1.132125,0,33FD42E6E16B0A6658E2BEB,61426092,61167704,37.7,0,4584,4584,1,2,141795362,226342,2198,2198,0,1272,1639,226342,898078,0,0,0,20533,0,0,224144,0,838980,0
18,stencil C7W512-t51,2026-09-26T07:59:10Z,stencil,new,6,1,1,4096,512,1,0,1.084225,0,33FD42E6E16B0A6658E2BEB,61418164,61167720,37.7,0,3547,3547,1,2,142651693,203557,2198,2198,0,1317,1638,203557,920881,0,0,0,23251,0,0,201359,0,838280,0
19,stencil C0-t75,2026-09-26T07:59:13Z,stencil,new,0,0,1,,1,0,0,1.275655,0,33FD42E6E16B0A6658E2BEB,61444016,61195336,37.7,0,10289,10289,0,0,0,469844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,stencil C0-t51,2026-09-26T07:59:15Z,stencil,new,0,0,1,,1,0,0,1.133930,0,33FD42E6E16B0A6658E2BEB,61442404,61186052,37.7,0,6031,6031,0,0,0,335838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,stencil C7W512-t51,2026-09-26T07:59:18Z,stencil,new,6,1,1,4096,512,1,0,1.097766,0,33FD42E6E16B0A6658E2BEB,61365988,61114340,37.7,0,3604,3604,1,2,141728798,206759,2198,2198,0,1253,1570,206759,917679,0,0,0,21705,0,0,204561,0,803464,0
22,stencil C7W512-t75,2026-09-26T07:59:21Z,stencil,new,6,1,1,4096,512,1,0,1.167602,0,33FD42E6E16B0A6658E2BEB,61346916,61093540,37.7,0,4582,4582,1,2,142905468,228664,2198,2198,0,1279,1642,228664,895757,0,0,0,21295,0,0,226466,0,840328,0
23,stencil C0-toff,2026-09-26T07:59:27Z,stencil,new,0,0,1,,1,0,0,4.640064,0,33FD42E6E16B0A6658E2BEB,61373056,61140684,37.7,0,74256,74256,0,0,0,2931377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,stencil C7W512-toff,2026-09-26T07:59:32Z,stencil,new,6,1,1,4096,512,1,0,3.672643,0,33FD42E6E16B0A6658E2BEB,61365188,61128884,37.6,0,73004,73004,1,2,141549869,2988275,2199,2199,0,2198,2198,1124998,2,1852615,0,10662,1124488,0,0,1122799,0,1125000,0
25,stencil C0-toff,2026-09-26T07:59:38Z,stencil,new,0,0,1,,1,0,0,4.709874,0,33FD42E6E16B0A6658E2BEB,61407772,61166488,37.6,0,74527,74527,0,0,0,2935898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,stencil C0-t51,2026-09-26T07:59:41Z,stencil,new,0,0,1,,1,0,0,1.135703,0,33FD42E6E16B0A6658E2BEB,61417056,61167580,37.6,0,6069,6069,0,0,0,338446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,stencil C7W512-t51,2026-09-26T07:59:43Z,stencil,new,6,1,1,4096,512,1,0,1.056094,0,33FD42E6E16B0A6658E2BEB,61390008,61140320,37.6,0,3551,3551,1,2,142320198,204771,2198,2198,0,1321,1617,204771,919670,0,0,0,22822,0,0,202573,0,827528,0
28,stencil C7W512-toff,2026-09-26T07:59:49Z,stencil,new,6,1,1,4096,512,1,0,3.674534,0,33FD42E6E16B0A6658E2BEB,61389336,61140524,37.6,0,72500,72500,1,2,141676920,2996843,2199,2199,0,2198,2198,1124998,2,1860395,0,11450,1124488,0,0,1122799,0,1125000,0
29,stencil C0-t75,2026-09-26T07:59:51Z,stencil,new,0,0,1,,1,0,0,1.255309,0,33FD42E6E16B0A6658E2BEB,61419100,61173244,37.6,0,10356,10356,0,0,0,472816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,stencil C7W512-t75,2026-09-26T07:59:54Z,stencil,new,6,1,1,4096,512,1,0,1.115819,0,33FD42E6E16B0A6658E2BEB,61400940,61144352,37.6,0,4309,4309,1,2,142155716,217901,2198,2198,0,1336,1713,217901,906614,0,0,0,22682,0,0,215703,0,876868,0
31,stencil C0-t51,2026-09-26T07:59:57Z,stencil,new,0,0,1,,1,0,0,1.123772,0,33FD42E6E16B0A6658E2BEB,61308976,61055852,37.6,0,6064,6064,0,0,0,341398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,stencil C0-t75,2026-09-26T07:59:59Z,stencil,new,0,0,1,,1,0,0,1.260175,0,33FD42E6E16B0A6658E2BEB,61310188,61140572,37.6,0,10273,10273,0,0,0,467680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,stencil C7W512-toff,2026-09-26T08:00:05Z,stencil,new,6,1,1,4096,512,1,0,3.679444,0,33FD42E6E16B0A6658E2BEB,61334936,61092852,37.6,0,73107,73107,1,2,141609771,2987155,2199,2199,0,2198,2198,1124998,2,1851518,0,10639,1124488,0,0,1122799,0,1125000,0
34,stencil C7W512-t51,2026-09-26T08:00:07Z,stencil,new,6,1,1,4096,512,1,0,1.065331,0,33FD42E6E16B0A6658E2BEB,61351632,61104644,37.6,0,3511,3511,1,2,141757008,202383,2198,2198,0,1318,1653,202383,922050,0,0,0,23773,0,0,200185,0,845960,0
35,stencil C7W512-t75,2026-09-26T08:00:10Z,stencil,new,6,1,1,4096,512,1,0,1.137472,0,33FD42E6E16B0A6658E2BEB,61358444,61118860,37.6,0,4395,4395,1,2,141698625,220858,2198,2198,0,1343,1686,220858,903535,0,0,0,21711,0,0,218660,0,862856,0
36,stencil C0-toff,2026-09-26T08:00:16Z,stencil,new,0,0,1,,1,0,0,4.659117,0,33FD42E6E16B0A6658E2BEB,61398220,61156056,37.6,0,74884,74884,0,0,0,2926455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,stencil C7W512-t75,2026-09-26T08:00:19Z,stencil,new,6,1,1,4096,512,1,0,1.153471,0,33FD42E6E16B0A6658E2BEB,61355564,61110468,37.6,0,4455,4455,1,2,141605823,223924,2198,2198,0,1307,1671,223924,900457,0,0,0,21727,0,0,221726,0,855176,0
38,stencil C0-t75,2026-09-26T08:00:21Z,stencil,new,0,0,1,,1,0,0,1.251173,0,33FD42E6E16B0A6658E2BEB,61279208,61089092,37.6,0,10319,10319,0,0,0,471550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,stencil C7W512-toff,2026-09-26T08:00:27Z,stencil,new,6,1,1,4096,512,1,0,3.679135,0,33FD42E6E16B0A6658E2BEB,61322852,61113516,37.6,0,73360,73360,1,2,141529434,2986744,2199,2199,0,2198,2198,1124978,22,1851124,0,10642,1124488,0,0,1122779,0,1125000,0
40,stencil C0-toff,2026-09-26T08:00:33Z,stencil,new,0,0,1,,1,0,0,4.631787,0,33FD42E6E16B0A6658E2BEB,61231176,61183284,37.6,0,74497,74497,0,0,0,2942753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,stencil C7W512-t51,2026-09-26T08:00:35Z,stencil,new,6,1,1,4096,512,1,0,1.036439,0,33FD42E6E16B0A6658E2BEB,61410328,61158096,37.6,0,3515,3515,1,2,141777911,201186,2198,2198,0,1357,1651,201186,923249,0,0,0,23835,0,0,198988,0,844936,0
42,stencil C0-t51,2026-09-26T08:00:38Z,stencil,new,0,0,1,,1,0,0,1.121609,0,33FD42E6E16B0A6658E2BEB,61439996,61180968,37.6,0,6057,6057,0,0,0,333828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,stencil C0-t75,2026-09-26T08:00:40Z,stencil,new,0,0,1,,1,0,0,1.254122,0,33FD42E6E16B0A6658E2BEB,61433832,61184840,37.6,0,10306,10306,0,0,0,468098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,stencil C7W512-toff,2026-09-26T08:00:46Z,stencil,new,6,1,1,4096,512,1,0,3.684121,0,33FD42E6E16B0A6658E2BEB,61407408,61172960,37.5,0,72617,72617,1,2,141641195,3002233,2199,2199,0,2198,2198,1124998,2,1866074,0,11161,1124488,0,0,1122799,0,1125000,0
45,stencil C7W512-t51,2026-09-26T08:00:48Z,stencil,new,6,1,1,4096,512,1,0,1.061743,0,33FD42E6E16B0A6658E2BEB,61417264,61173100,37.5,0,3539,3539,1,2,141623649,204459,2198,2198,0,1330,1628,204459,919969,0,0,0,23211,0,0,202261,0,833160,0
46,stencil C7W512-t75,2026-09-26T08:00:51Z,stencil,new,6,1,1,4096,512,1,0,1.100332,0,33FD42E6E16B0A6658E2BEB,61423500,61177244,37.5,0,4295,4295,1,2,141541190,218837,2198,2198,0,1340,1707,218837,905586,0,0,0,22193,0,0,216639,0,873608,0
47,stencil C0-t51,2026-09-26T08:00:54Z,stencil,new,0,0,1,,1,0,0,1.119317,0,33FD42E6E16B0A6658E2BEB,61462344,61221788,37.5,0,6042,6042,0,0,0,336922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,stencil C0-toff,2026-09-26T08:01:00Z,stencil,new,0,0,1,,1,0,0,4.655449,0,33FD42E6E16B0A6658E2BEB,61416104,61228496,37.5,0,74328,74328,0,0,0,2934842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,stencil C0-t75,2026-09-26T08:01:02Z,stencil,new,0,0,1,,1,0,0,1.258524,0,33FD42E6E16B0A6658E2BEB,61474304,61211916,37.5,0,10306,10306,0,0,0,474212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,stencil C0-t51,2026-09-26T08:01:05Z,stencil,new,0,0,1,,1,0,0,1.152630,0,33FD42E6E16B0A6658E2BEB,61413628,61230656,37.5,0,6029,6029,0,0,0,340946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
